"No","Title_en","OctetNo","Contents_en","Note_en","Status"
111.00,"Grid definition template 3.20 - polar stereographic projection","15","Shape of the Earth","(see Code table 3.2)","Operational"
112.00,"Grid definition template 3.20 - polar stereographic projection","16","Scale factor of radius of spherical Earth",,"Operational"
113.00,"Grid definition template 3.20 - polar stereographic projection","17-20","Scaled value of radius of spherical Earth",,"Operational"
114.00,"Grid definition template 3.20 - polar stereographic projection","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
115.00,"Grid definition template 3.20 - polar stereographic projection","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
116.00,"Grid definition template 3.20 - polar stereographic projection","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
117.00,"Grid definition template 3.20 - polar stereographic projection","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
118.00,"Grid definition template 3.20 - polar stereographic projection","31-34","Nx - number of points along the x-axis",,"Operational"
119.00,"Grid definition template 3.20 - polar stereographic projection","35-38","Ny - number of points along the y-axis",,"Operational"
120.00,"Grid definition template 3.20 - polar stereographic projection","39-42","La1 - latitude of first grid point",,"Operational"
121.00,"Grid definition template 3.20 - polar stereographic projection","43-46","Lo1 - longitude of first grid point",,"Operational"
122.00,"Grid definition template 3.20 - polar stereographic projection","47","Resolution and component flags","(see Flag table 3.3 and Note 1)","Operational"
123.00,"Grid definition template 3.20 - polar stereographic projection","48-51","LaD - latitude where Dx and Dy are specified",,"Operational"
124.00,"Grid definition template 3.20 - polar stereographic projection","52-55","LoV - orientation of the grid","(see Note 2)","Operational"
125.00,"Grid definition template 3.20 - polar stereographic projection","56-59","Dx - x-direction grid length","(see Note 3)","Operational"
126.00,"Grid definition template 3.20 - polar stereographic projection","60-63","Dy - y-direction grid length","(see Note 3)","Operational"
127.00,"Grid definition template 3.20 - polar stereographic projection","64","Projection centre flag","(see Flag table 3.5)","Operational"
128.00,"Grid definition template 3.20 - polar stereographic projection","65","Scanning mode","(see Flag table 3.4)","Operational"
134.00,"Grid definition template 3.30 - Lambert conformal","15","Shape of the Earth","(see Code table 3.2)","Operational"
135.00,"Grid definition template 3.30 - Lambert conformal","16","Scale factor of radius of spherical Earth",,"Operational"
136.00,"Grid definition template 3.30 - Lambert conformal","17-20","Scaled value of radius of spherical Earth",,"Operational"
137.00,"Grid definition template 3.30 - Lambert conformal","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
138.00,"Grid definition template 3.30 - Lambert conformal","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
139.00,"Grid definition template 3.30 - Lambert conformal","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
140.00,"Grid definition template 3.30 - Lambert conformal","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
141.00,"Grid definition template 3.30 - Lambert conformal","31-34","Nx - number of points along the x-axis",,"Operational"
142.00,"Grid definition template 3.30 - Lambert conformal","35-38","Ny - number of points along the y-axis",,"Operational"
143.00,"Grid definition template 3.30 - Lambert conformal","39-42","La1 - latitude of first grid point",,"Operational"
144.00,"Grid definition template 3.30 - Lambert conformal","43-46","Lo1 - longitude of first grid point",,"Operational"
145.00,"Grid definition template 3.30 - Lambert conformal","47","Resolution and component flags","(see Flag table 3.3)","Operational"
146.00,"Grid definition template 3.30 - Lambert conformal","48-51","LaD - latitude where Dx and Dy are specified",,"Operational"
147.00,"Grid definition template 3.30 - Lambert conformal","52-55","LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases",,"Operational"
148.00,"Grid definition template 3.30 - Lambert conformal","56-59","Dx - x-direction grid length","(see Note 1)","Operational"
149.00,"Grid definition template 3.30 - Lambert conformal","60-63","Dy - y-direction grid length","(see Note 1)","Operational"
150.00,"Grid definition template 3.30 - Lambert conformal","64","Projection centre flag","(see Flag table 3.5)","Operational"
151.00,"Grid definition template 3.30 - Lambert conformal","65","Scanning mode","(see Flag table 3.4)","Operational"
152.00,"Grid definition template 3.30 - Lambert conformal","66-69","Latin 1 - first latitude from the pole at which the secant cone cuts the sphere",,"Operational"
153.00,"Grid definition template 3.30 - Lambert conformal","70-73","Latin 2 - second latitude from the pole at which the secant cone cuts the sphere",,"Operational"
154.00,"Grid definition template 3.30 - Lambert conformal","74-77","Latitude of the southern pole of projection",,"Operational"
155.00,"Grid definition template 3.30 - Lambert conformal","78-81","Longitude of the southern pole of projection",,"Operational"
156.00,"Grid definition template 3.31 - Albers equal area","15","Shape of the Earth","(see Code table 3.2)","Operational"
157.00,"Grid definition template 3.31 - Albers equal area","16","Scale factor of radius of spherical Earth",,"Operational"
158.00,"Grid definition template 3.31 - Albers equal area","17-20","Scaled value of radius of spherical Earth",,"Operational"
159.00,"Grid definition template 3.31 - Albers equal area","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
160.00,"Grid definition template 3.31 - Albers equal area","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
161.00,"Grid definition template 3.31 - Albers equal area","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
162.00,"Grid definition template 3.31 - Albers equal area","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
163.00,"Grid definition template 3.31 - Albers equal area","31-34","Nx - number of points along the x-axis",,"Operational"
164.00,"Grid definition template 3.31 - Albers equal area","35-38","Ny - number of points along the y-axis",,"Operational"
165.00,"Grid definition template 3.31 - Albers equal area","39-42","La1 - latitude of first grid point",,"Operational"
166.00,"Grid definition template 3.31 - Albers equal area","43-46","Lo1 - longitude of first grid point",,"Operational"
167.00,"Grid definition template 3.31 - Albers equal area","47","Resolution and component flags","(see Flag table 3.3)","Operational"
168.00,"Grid definition template 3.31 - Albers equal area","48-51","LaD - latitude where Dx and Dy are specified",,"Operational"
169.00,"Grid definition template 3.31 - Albers equal area","52-55","LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases",,"Operational"
170.00,"Grid definition template 3.31 - Albers equal area","56-59","Dx - x-direction grid length","(see Note 1)","Operational"
171.00,"Grid definition template 3.31 - Albers equal area","60-63","Dy - y-direction grid length","(see Note 1)","Operational"
172.00,"Grid definition template 3.31 - Albers equal area","64","Projection centre flag","(see Flag table 3.5)","Operational"
173.00,"Grid definition template 3.31 - Albers equal area","65","Scanning mode","(see Flag table 3.4)","Operational"
174.00,"Grid definition template 3.31 - Albers equal area","66-69","Latin 1 - first latitude from the pole at which the secant cone cuts the sphere",,"Operational"
175.00,"Grid definition template 3.31 - Albers equal area","70-73","Latin 2 - second latitude from the pole at which the secant cone cuts the sphere",,"Operational"
176.00,"Grid definition template 3.31 - Albers equal area","74-77","Latitude of the southern pole of projection",,"Operational"
177.00,"Grid definition template 3.31 - Albers equal area","78-81","Longitude of the southern pole of projection",,"Operational"
183.00,"Grid definition template 3.40 - Gaussian latitude/longitude","15","Shape of the Earth","(see Code table 3.2)","Operational"
184.00,"Grid definition template 3.40 - Gaussian latitude/longitude","16","Scale factor of radius of spherical Earth",,"Operational"
185.00,"Grid definition template 3.40 - Gaussian latitude/longitude","17-20","Scaled value of radius of spherical Earth",,"Operational"
186.00,"Grid definition template 3.40 - Gaussian latitude/longitude","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
187.00,"Grid definition template 3.40 - Gaussian latitude/longitude","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
188.00,"Grid definition template 3.40 - Gaussian latitude/longitude","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
189.00,"Grid definition template 3.40 - Gaussian latitude/longitude","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
190.00,"Grid definition template 3.40 - Gaussian latitude/longitude","31-34","Ni - number of points along a parallel",,"Operational"
191.00,"Grid definition template 3.40 - Gaussian latitude/longitude","35-38","Nj - number of points along a meridian",,"Operational"
192.00,"Grid definition template 3.40 - Gaussian latitude/longitude","39-42","Basic angle of the initial production domain","(see Note 1)","Operational"
193.00,"Grid definition template 3.40 - Gaussian latitude/longitude","43-46","Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments","(see Note 1)","Operational"
194.00,"Grid definition template 3.40 - Gaussian latitude/longitude","47-50","La1 - latitude of first grid point","(see Note 1)","Operational"
195.00,"Grid definition template 3.40 - Gaussian latitude/longitude","51-54","Lo1 - longitude of first grid point","(see Note 1)","Operational"
196.00,"Grid definition template 3.40 - Gaussian latitude/longitude","55","Resolution and component flags","(see Flag table 3.3)","Operational"
197.00,"Grid definition template 3.40 - Gaussian latitude/longitude","56-59","La2 - latitude of last grid point","(see Note 1)","Operational"
198.00,"Grid definition template 3.40 - Gaussian latitude/longitude","60-63","Lo2 - longitude of last grid point","(see Note 1)","Operational"
199.00,"Grid definition template 3.40 - Gaussian latitude/longitude","64-67","Di - i direction increment","(see Notes 1 and 5)","Operational"
200.00,"Grid definition template 3.40 - Gaussian latitude/longitude","68-71","N - number of parallels between a pole and the Equator","(see Note 2)","Operational"
201.00,"Grid definition template 3.40 - Gaussian latitude/longitude","72","Scanning mode","(flags - see Flag table 3.4)","Operational"
202.00,"Grid definition template 3.40 - Gaussian latitude/longitude","73-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)","Operational"
203.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","15-72","Same as grid definition template 3.40","(see Note 1)","Operational"
204.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","73-76","Latitude of the southern pole of projection",,"Operational"
205.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","77-80","Longitude of the southern pole of projection",,"Operational"
206.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","81-84","Angle of rotation of projection",,"Operational"
207.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)","Operational"
208.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","15-72","Same as grid definition template 3.40","(see Note 1)","Operational"
209.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","73-76","Latitude of the pole of stretching",,"Operational"
210.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","77-80","Longitude of the pole of stretching",,"Operational"
211.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","81-84","Stretching factor",,"Operational"
212.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)","Operational"
213.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","15-72","Same as grid definition template 3.40","(see Note 1)","Operational"
214.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","73-76","Latitude of the southern pole of projection",,"Operational"
215.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","77-80","Longitude of the southern pole of projection",,"Operational"
216.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","81-84","Angle of rotation of projection",,"Operational"
217.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","85-88","Latitude of the pole of stretching",,"Operational"
218.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","89-92","Longitude of the pole of stretching",,"Operational"
219.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","93-96","Stretching factor",,"Operational"
220.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","97-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 5)","Operational"
221.00,"Grid definition template 3.50 - spherical harmonic coefficients","15-18","J - pentagonal resolution parameter",,"Operational"
222.00,"Grid definition template 3.50 - spherical harmonic coefficients","19-22","K - pentagonal resolution parameter",,"Operational"
223.00,"Grid definition template 3.50 - spherical harmonic coefficients","23-26","M - pentagonal resolution parameter",,"Operational"
224.00,"Grid definition template 3.50 - spherical harmonic coefficients","27","Representation type indicating the method used to define the norm","(see Code table 3.6)","Operational"
225.00,"Grid definition template 3.50 - spherical harmonic coefficients","28","Representation mode indicating the order of the coefficients","(see Code table 3.7)","Operational"
226.00,"Grid definition template 3.51 - rotated spherical harmonic coefficients","15-28","Same as grid definition template 3.50",,"Operational"
227.00,"Grid definition template 3.51 - rotated spherical harmonic coefficients","29-32","Latitude of the southern pole of projection",,"Operational"
228.00,"Grid definition template 3.51 - rotated spherical harmonic coefficients","33-36","Longitude of the southern pole of projection",,"Operational"
229.00,"Grid definition template 3.51 - rotated spherical harmonic coefficients","37-40","Angle of rotation of projection",,"Operational"
230.00,"Grid definition template 3.52 - stretched spherical harmonic coefficients","15-28","Same as grid definition template 3.50",,"Operational"
231.00,"Grid definition template 3.52 - stretched spherical harmonic coefficients","29-32","Latitude of the pole of stretching",,"Operational"
232.00,"Grid definition template 3.52 - stretched spherical harmonic coefficients","33-36","Longitude of the pole of stretching",,"Operational"
233.00,"Grid definition template 3.52 - stretched spherical harmonic coefficients","37-40","Stretching factor",,"Operational"
234.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","15-28","Same as grid definition template 3.50",,"Operational"
235.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","29-32","Latitude of the southern pole of projection",,"Operational"
236.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","33-36","Longitude of the southern pole of projection",,"Operational"
237.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","37-40","Angle of rotation of projection",,"Operational"
238.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","41-44","Latitude of pole of stretching",,"Operational"
239.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","45-48","Longitude of pole of stretching",,"Operational"
240.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","49-52","Stretching factor",,"Operational"
313.00,"Grid definition template 3.90 - space view perspective or orthographic","15","Shape of the Earth","(see Code table 3.2)","Operational"
314.00,"Grid definition template 3.90 - space view perspective or orthographic","16","Scale factor of radius of spherical Earth",,"Operational"
315.00,"Grid definition template 3.90 - space view perspective or orthographic","17-20","Scaled value of radius of spherical Earth",,"Operational"
316.00,"Grid definition template 3.90 - space view perspective or orthographic","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
