Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",27,Scale factor of second fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",28-31,Scaled value of second fixed surface,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",32,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",33,Perturbation number,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",34,Number of forecasts in ensemble,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",35,Statistical process used to calculate the fields that will be used in the local time processing,(see Code table 4.10),,4.10,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",36,Indicator of unit of time range over which statistical processing is done,(see Code table 4.4),,4.4,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",37-40,Length of the time range over which statistical processing is done in units defined by the previous octet,(see Note 4),140,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",41,Number of statistically processed fields used in the local time composite field,(see Note 5),141,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",42,Method used to derive the data field values at the local time specified in section 1,(see Code table 4.248),,4.248,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",43,n - number of forecasts used to create the composite data field at the local time specified in section 1 (n >= 1),(see Note 6),148,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",,Octets 44-61 Specification of the forecast used in the processing (n=1),,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",44-45,Year of the forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",46,Month of the forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",47,Day of the forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",48,Hour of the forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",49,Minute of the forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",50,Second of the forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",51,Indicator of units of forecast time,(see Code table 4.4),,4.4,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",52-55,Forecast time,(see Notes 7 and 9),"150,70",,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",56,Number of time increments of the forecast used in the processing,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",57,Indicator of units of time for the time increments,(see Code table 4.4),,4.4,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",58-61,Time increments between successive forecast times,(see Note 8),149,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",,Octets 62-nn are included only if n > 1 where nn = 43 + 18 x n,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values of a post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a local time",62-nn,(n-1) repetitions of sequence of octets 44-61 describing the next analyses or forecasts used in the processing,,,,,Operational
