noteID,template,octet
111,GRIB2_Template_4_63_ProductDefinitionTemplate_en,25-28
111,GRIB2_Template_4_67_ProductDefinitionTemplate_en,(28+5Np)-(31+5Np)
111,GRIB2_Template_4_68_ProductDefinitionTemplate_en,(28+5Np)-(31+5Np)
111,GRIB2_Template_4_72_ProductDefinitionTemplate_en,24-27
111,GRIB2_Template_4_73_ProductDefinitionTemplate_en,24-27
111,GRIB2_Template_4_78_ProductDefinitionTemplate_en,22-25
111,GRIB2_Template_4_79_ProductDefinitionTemplate_en,22-25
111,GRIB2_Template_4_8_ProductDefinitionTemplate_en,19-22
111,GRIB2_Template_4_82_ProductDefinitionTemplate_en,33-36
111,GRIB2_Template_4_83_ProductDefinitionTemplate_en,33-36
111,GRIB2_Template_4_84_ProductDefinitionTemplate_en,33-36
111,GRIB2_Template_4_85_ProductDefinitionTemplate_en,32-35
111,GRIB2_Template_4_87_ProductDefinitionTemplate_en,19-22
111,GRIB2_Template_4_9_ProductDefinitionTemplate_en,19-22
111,GRIB2_Template_4_91_ProductDefinitionTemplate_en,19-22
114,GRIB2_Template_3_20_GridDefinitionTemplate_en,47
114,GRIB2_Template_3_4_GridDefinitionTemplate_en,47
119,GRIB2_Template_5_51_DataRepresentationTemplate_en,25-26
119,GRIB2_Template_5_51_DataRepresentationTemplate_en,27-28
119,GRIB2_Template_5_51_DataRepresentationTemplate_en,29-30
119,GRIB2_Template_5_51_DataRepresentationTemplate_en,31-34
120,GRIB2_Template_5_53_DataRepresentationTemplate_en,27-28
120,GRIB2_Template_5_53_DataRepresentationTemplate_en,29-30
120,GRIB2_Template_5_53_DataRepresentationTemplate_en,31-34
121,GRIB2_Template_4_53_ProductDefinitionTemplate_en,(14+2NP)-(15+2NP)
121,GRIB2_Template_4_53_ProductDefinitionTemplate_en,11
121,GRIB2_Template_4_53_ProductDefinitionTemplate_en,12
121,GRIB2_Template_4_54_ProductDefinitionTemplate_en,(14+2NP)-(15+2NP)
121,GRIB2_Template_4_54_ProductDefinitionTemplate_en,11
121,GRIB2_Template_4_54_ProductDefinitionTemplate_en,12
124,GRIB2_Template_3_0_GridDefinitionTemplate_en,73-nn
124,GRIB2_Template_3_1_GridDefinitionTemplate_en,85-nn
124,GRIB2_Template_3_10_GridDefinitionTemplate_en,73-nn
124,GRIB2_Template_3_2_GridDefinitionTemplate_en,85-nn
124,GRIB2_Template_3_3_GridDefinitionTemplate_en,97-nn
124,GRIB2_Template_3_40_GridDefinitionTemplate_en,73-nn
124,GRIB2_Template_3_41_GridDefinitionTemplate_en,85-nn
124,GRIB2_Template_3_42_GridDefinitionTemplate_en,85-nn
124,GRIB2_Template_3_43_GridDefinitionTemplate_en,97-nn
126,GRIB2_Template_4_70_ProductDefinitionTemplate_en,16
126,GRIB2_Template_4_71_ProductDefinitionTemplate_en,16
126,GRIB2_Template_4_72_ProductDefinitionTemplate_en,16
126,GRIB2_Template_4_73_ProductDefinitionTemplate_en,16
127,GRIB2_Template_4_60_ProductDefinitionTemplate_en,38-39
127,GRIB2_Template_4_61_ProductDefinitionTemplate_en,38-39
136,GRIB2_Template_3_10_GridDefinitionTemplate_en,73-nn
