tableNo,tableName,subTableName,noteID,notation
4.2.4.7,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 7: terrestrial electromagnetic emissions",,
4.2.4.8,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 8: imagery",,
4.2.4.9,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 9: ion-neutral coupling",,
4.2.4.10,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 10: space weather indices",,
4.2.10.0,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 0: waves",52,n/a
4.2.10.1,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 1: currents",,
4.2.10.2,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",,
4.2.10.3,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 3: surface properties",,
4.2.10.4,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 4: subsurface properties",,
4.2.10.191,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 191: miscellaneous",,
4.2.20.0,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 20 - Oceanographic products, parameter category 0: health indicators",,
4.2.20.1,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 20 - Oceanographic products, parameter category 1: epidemiology",,
4.2.20.2,Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 20 - Oceanographic products, parameter category 2: socioeconomic indicators",,
4.2.0.0,Code table 4.2 - Parameter number by product discipline and parameter category,,,
4.2.0.0,Code table 4.2 - Parameter number by product discipline and parameter category,,,
4.2.0.0,Code table 4.2 - Parameter number by product discipline and parameter category,,,
4.3.0.0,Code table 4.3 - Type of generating process,,,
4.4.0.0,Code table 4.4 - Indicator of unit of time range,,,
4.5.0.0,Code table 4.5 - Fixed surface types and units,,,
4.6.0.0,Code table 4.6 - Type of ensemble forecast,,,
4.7.0.0,Code table 4.7 - Derived forecast,,,
4.8.0.0,Code table 4.8 - Clustering method,,,
4.9.0.0,Code table 4.9 - Probability type,,,
4.10.0.0,Code table 4.10 - Type of statistical processing,,,
4.11.0.0,Code table 4.11 - Type of time intervals,,,
4.12.0.0,Code table 4.12 - Operating mode,,,
4.13.0.0,Code table 4.13 - Quality control indicator,,,
4.14.0.0,Code table 4.14 - Clutter filter indicator,,,
4.15.0.0,Code table 4.15 - Type of spatial processing used to arrive at given data value from the source data,,,
4.16.0.0,Code table 4.16 - Quality value associated with parameter,,120,1
4.91.0.0,Code table 4.91 - Type of Interval,,,
4.201.0.0,Code table 4.201 - Precipitation type,,,
4.202.0.0,Code table 4.202 - Precipitable water category,,,
4.203.0.0,Code table 4.203 - Cloud type,,38,n/a
4.204.0.0,Code table 4.204 - Thunderstorm coverage,,,
4.205.0.0,Code table 4.205 - Presence of aerosol,,,
4.206.0.0,Code table 4.206 - Volcanic ash,,,
4.207.0.0,Code table 4.207 - Icing,,,
4.208.0.0,Code table 4.208 - Turbulence,,,
4.209.0.0,Code table 4.209 - Planetary boundary-layer regime,,,
4.210.0.0,Code table 4.210 - Contrail intensity,,,
4.211.0.0,Code table 4.211 - Contrail engine type,,,
4.212.0.0,Code table 4.212 - Land use,,,
4.213.0.0,Code table 4.213 - Soil type,,,
4.214.0.0,Code table 4.214 - Environmental Factor Qualifier,,,
4.215.0.0,Code table 4.215 - Remotely sensed snow coverage,,,
4.216.0.0,Code table 4.216 - Elevation of snow-covered terrain,,,
