ORDER,tableNo. ,tableName,subTableName,noteID,notation
55,4.2.0.19,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 19: physical atmospheric properties",,
56,4.2.0.20,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 20: atmospheric chemical constituents",,
57,4.2.0.190,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 190: CCITT IA5 string",,
58,4.2.0.191,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 0 – Meteorological products, parameter category 191: miscellaneous",,
59,4.2.1.0,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 1 – Hydrological products, parameter category 0: hydrology basic products",25,(2)
60,4.2.1.0,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 1 – Hydrological products, parameter category 0: hydrology basic products",73,(1)
61,4.2.1.0,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 1 – Hydrological products, parameter category 0: hydrology basic products",77,(3)
62,4.2.1.1,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 1 – Hydrological products, parameter category 1: hydrology probabilities",,
63,4.2.1.2,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 1 – Hydrological products, parameter category 2: inland water and sediment properties",,
64,4.2.2.0,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 2 – Land surface products, parameter category 0: vegetation/biomass",,
65,4.2.2.3,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 2 – Land surface products, parameter category 3: soil products",,
66,4.2.2.4,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 2 – Land surface products, parameter category 4: fire weather products",,
67,4.2.2.5,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 2 – Land surface products, parameter category 5: glaciers and inland ice",,
68,4.2.3.0,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 3 – Space products, parameter category 0: image format products",,
69,4.2.3.1,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 3 – Space products, parameter category 1: quantitative products",,
70,4.2.3.2,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 3 – Space products, parameter category 2: cloud properties",70,n/a
71,4.2.3.3,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 3 – Space products, parameter category 3: flight rule conditions",,
72,4.2.3.4,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 3 – Space products, parameter category 4: volcanic ash",,
73,4.2.3.5,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 3 – Space products, parameter category 5: sea-surface temperature",,
74,4.2.3.6,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 3 – Space products, parameter category 6: solar radiation",,
75,4.2.4.0,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 4 – Space weather products, parameter category 0: temperature",,
76,4.2.4.1,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 4 – Space weather products, parameter category 1: momentum",,
77,4.2.4.2,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 4 – Space weather products, parameter category 2: charged particle mass and number",,
78,4.2.4.3,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 4 – Space weather products, parameter category 3: electric and magnetic fields",,
79,4.2.4.4,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 4 – Space weather products, parameter category 4: energetic particles",,
80,4.2.4.5,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 4 – Space weather products, parameter category 5: waves",,
81,4.2.4.6,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 4 – Space weather products, parameter category 6: solar electromagnetic emissions",,
82,4.2.4.7,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 4 – Space weather products, parameter category 7: terrestrial electromagnetic emissions",,
83,4.2.4.8,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 4 – Space weather products, parameter category 8: imagery",,
84,4.2.4.9,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 4 – Space weather products, parameter category 9: ion-neutral coupling",,
85,4.2.4.10,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 4 – Space weather products, parameter category 10: space weather indices",,
86,4.2.10.0,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 10 – Oceanographic products, parameter category 0: waves",52,n/a
87,4.2.10.1,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 10 – Oceanographic products, parameter category 1: currents",,
88,4.2.10.2,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 10 – Oceanographic products, parameter category 2: ice",,
89,4.2.10.3,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 10 – Oceanographic products, parameter category 3: surface properties",,
90,4.2.10.4,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 10 – Oceanographic products, parameter category 4: subsurface properties",,
91,4.2.10.191,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 10 – Oceanographic products, parameter category 191: miscellaneous",,
92,4.2.20.0,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 20 – Oceanographic products, parameter category 0: health indicators",,
93,4.2.20.1,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 20 – Oceanographic products, parameter category 1: epidemiology",,
94,4.2.20.2,Code table 4.2 – Parameter number by product discipline and parameter category,"Product discipline 20 – Oceanographic products, parameter category 2: socioeconomic indicators",,
95,4.2.0.0,Code table 4.2 – Parameter number by product discipline and parameter category,,,
96,4.2.0.0,Code table 4.2 – Parameter number by product discipline and parameter category,,,
97,4.2.0.0,Code table 4.2 – Parameter number by product discipline and parameter category,,,
98,4.3.0.0,Code table 4.3 – Type of generating process,,,
99,4.4.0.0,Code table 4.4 – Indicator of unit of time range,,,
100,4.5.0.0,Code table 4.5 – Fixed surface types and units,,,
101,4.6.0.0,Code table 4.6 – Type of ensemble forecast,,,
102,4.7.0.0,Code table 4.7 – Derived forecast,,,
103,4.8.0.0,Code table 4.8 – Clustering method,,,
104,4.9.0.0,Code table 4.9 – Probability type,,,
105,4.10.0.0,Code table 4.10 – Type of statistical processing,,,
106,4.11.0.0,Code table 4.11 – Type of time intervals,,,
107,4.12.0.0,Code table 4.12 – Operating mode,,,
108,4.13.0.0,Code table 4.13 – Quality control indicator,,,
109,4.14.0.0,Code table 4.14 – Clutter filter indicator,,,
110,4.15.0.0,Code table 4.15 – Type of spatial processing used to arrive at given data value from the source data,,,
111,4.16.0.0,Code table 4.16 – Quality value associated with parameter,,120,(1)
112,4.91.0.0,Code table 4.91 – Type of Interval,,,
113,4.201.0.0,Code table 4.201 – Precipitation type,,,
114,4.202.0.0,Code table 4.202 – Precipitable water category,,,
115,4.203.0.0,Code table 4.203 – Cloud type,,38,n/a
116,4.204.0.0,Code table 4.204 – Thunderstorm coverage,,,
117,4.205.0.0,Code table 4.205 – Presence of aerosol,,,
118,4.206.0.0,Code table 4.206 – Volcanic ash,,,
119,4.207.0.0,Code table 4.207 – Icing,,,
120,4.208.0.0,Code table 4.208 – Turbulence,,,
121,4.209.0.0,Code table 4.209 – Planetary boundary-layer regime,,,
122,4.210.0.0,Code table 4.210 – Contrail intensity,,,
123,4.211.0.0,Code table 4.211 – Contrail engine type,,,
124,4.212.0.0,Code table 4.212 – Land use,,,
125,4.213.0.0,Code table 4.213 – Soil type,,,
126,4.214.0.0,Code table 4.214 – Environmental Factor Qualifier,,,
127,4.215.0.0,Code table 4.215 – Remotely sensed snow coverage,,,
128,4.216.0.0,Code table 4.216 – Elevation of snow-covered terrain,,,
129,4.217.0.0,Code table 4.217 – Cloud mask type,,,
130,4.218.0.0,Code table 4.218 – Pixel scene type,,,
131,4.219.0.0,Code table 4.219 – Cloud top height quality indicator,,,
132,4.220.0.0,Code table 4.220 – Horizontal dimension processed,,,
133,4.221.0.0,Code table 4.221 – Treatment of missing data,,,
134,4.222.0.0,Code table 4.222 – Categorical result,,,
135,4.223.0.0,Code table 4.223 – Fire detection indicator,,,
136,4.224.0.0,Code table 4.224 – Categorical outlook,,,
137,4.225.0.0,Code table 4.225 – Weather,,,
138,4.227.0.0,Code table 4.227 – Icing scenario (weather/cloud classification),,,
139,4.228.0.0,Code table 4.228 – Icing severity,,,
140,4.230.0.0,Code table 4.230 – Atmospheric chemical constituent type,,,
141,4.233.0.0,Code table 4.233 – Aerosol type,,,
142,4.234.0.0,Code table 4.234 – Canopy cover fraction (to be used as partitioned parameter in product definition template 4.53 or 4.54),,,
143,4.236.0.0,Code table 4.236 – Soil texture fraction (to be used as partitioned parameter in product definition template 4.53 or 4.54),,,
144,4.238.0.0,Code table 4.238 – Source or sink,,,
145,4.240.0.0,Code table 4.240 – Type of distribution function,,,
146,4.241.0.0,Code table 4.241 – Coverage attributes,,,
147,4.242.0.0,Code table 4.242 – Tile classification,,,
148,4.243.0.0,Code table 4.243 – Tile class,,,
149,4.244.0.0,Code table 4.244 – Quality indicator,,,
150,4.246.0.0,Code table 4.246 – Thunderstorm Intensity,,,
151,4.247.0.0,Code table 4.247 – Precipitation Intensity,,,
152,4.248.0.0,Code table 4.248 – Method used to derive data values for a given local time,,,
153,4.249.0.0,Code table 4.249 – Character of precipitation,,,
154,5.0.0.0,Code table 5.0 – Data representation template number,,,
155,5.1.0.0,Code table 5.1 – Type of original field values,,,
156,5.2.0.0,Code table 5.2 – Matrix coordinate value function definition,,,
157,5.3.0.0,Code table 5.3 – Matrix coordinate parameter,,,
158,5.4.0.0,Code table 5.4 – Group splitting method,,,
159,5.5.0.0,Code table 5.5 – Missing value management for complex packing,,,
160,5.6.0.0,Code table 5.6 – Order of spatial differencing,,,
161,5.7.0.0,Code table 5.7 – Precision of floating-point numbers,,,
162,5.25.0.0,Code table 5.25 – Type of bi-Fourier subtruncation,,,
163,5.26.0.0,Code table 5.26 – Packing mode for axes,,,
164,5.40.0.0,Code table 5.40 – Type of compression,,,
165,6.0.0.0,Code table 6.0 – Bit map indicator,,,
